OBJECTID,Tents,Density,Date,Camps,Shape_Length,Shape_Area
1,20,0.017883317,4/12/2021,Murals East,367.6273059,1118.360773
2,41,0.027652626,4/12/2021,Murals South,381.0540966,1482.680168
3,5,0.057873669,4/12/2021,8th & Main,38.2061909,86.3950751
4,37,0.010941582,4/12/2021,Roadhome 1,386.5112226,3381.595126
5,3,0.003723294,4/12/2021,Roadhome 2,389.4173694,805.7380451
6,41,0.04697959,4/12/2021,Murals North,431.6741861,872.7194044
7,7,0.005710415,4/12/2021,Liberty,207.7223964,1225.830378
8,7,0.015445897,4/12/2021,900S 500W,161.8174447,453.1947808
9,18,0.016207624,4/12/2021,7th & State 2,244.0792946,1110.588472
11,14,0.010842217,4/12/2021,Train Tracks,202.3336549,1291.248885
12,49,0.007274148,4/12/2021,600W South Temple,396.3711054,6736.184474
13,6,0.015959152,4/12/2021,500 Underpass,93.3008449,375.9598269
14,4,0.023746857,4/12/2021,800W 600S,64.10212023,168.4433408
15,2,0.02901496,4/12/2021,KOA,33.25747279,68.92995884
17,2,0.031354361,4/12/2021,1300 & State,38.54212166,63.78698011
18,2,0.032516658,4/12/2021,900S 800W,36.93252461,61.50693528
19,5,0.037156553,4/12/2021,Genesee,62.41788991,134.5657639
20,2,0.026173114,4/12/2021,North Temple 1,37.76196617,76.41429272
21,20,0.004733683,4/12/2021,Beck Street,253.1517612,4225.039602
