OBJECTID,Tents,Density,Date,Camps,Shape_Length,Shape_Area
1,2,0.010149138,8/01/2021,8th & Main,66.48981276,197.0610659
2,4,0.00206733,8/01/2021,Roadhome 1,214.4050041,1934.862585
3,16,0.012391105,8/01/2021,Train Tracks,202.3336549,1291.248885
4,58,0.018669936,8/01/2021,500 Underpass,297.0617724,3106.598723
5,22,0.008018191,8/01/2021,700 Underpass,239.1101889,2743.760895
6,2,0.003576596,8/01/2021,Smiths 500S,211.8686412,559.1909784
7,4,0.011564127,8/01/2021,700S Main,107.6480078,345.8972812
8,8,0.000959018,8/01/2021,Liberty,542.9478909,8341.863378
9,7,0.006679131,8/01/2021,Genesee,134.5690101,1048.040468
12,2,0.005463922,8/01/2021,500 W South Temple,98.42053521,366.0374249
13,4,0.029772129,8/01/2021,Downignton,65.59825517,134.3538443
14,2,0.011627712,8/01/2021,700W & Tracks,53.45389367,172.0028813
16,3,0.02066034,8/01/2021,Liberty Wells,54.10106744,145.2057392
17,2,0.01664475,8/01/2021,KOA,46.33507125,120.1580046
18,5,0.031439365,8/01/2021,600 S 200 W,75.41026414,159.0362928
19,2,0.007382442,8/01/2021,Fairmont,66.09405965,270.9130722
20,3,0.023265988,8/01/2021,Fairpark ,45.47488014,128.9435905
23,2,0.04555076,8/01/2021,Elder ,29.24372673,43.90706088
24,3,0.017425368,8/01/2021,Lowes,60.38498738,172.1627901
25,9,0.005799044,8/01/2021,900 S Main,560.4722955,1551.980037
26,2,0.02007904,8/01/2021,Warm Springs,40.28482759,99.60635754
27,3,0.033466904,8/01/2021,Sherwood,39.92801866,89.6407981
28,2,0.036553866,8/01/2021,Volney,33.39269266,54.71377465
29,2,0.014294269,8/01/2021,800 S 200 E,47.32225781,139.9162128
