OBJECTID,Tents,Density,Date,Camps,Shape_Length,Shape_Area
1,13,0.017411182,4/24/2021,8th & Main,205.1447998,746.6465959
2,40,0.008898819,4/24/2021,Roadhome 1,449.678879,4494.978538
3,8,0.008421469,4/24/2021,Roadhome 2,457.2349471,949.9530033
4,8,0.003317899,4/24/2021,Liberty,382.2745843,2411.164415
5,20,0.024061205,4/24/2021,900S 500W,258.0490629,831.2135574
6,12,0.010632726,4/24/2021,7th & State 2,244.5430524,1128.591138
7,16,0.012391105,4/24/2021,Train Tracks,202.3336549,1291.248885
8,71,0.005842589,4/24/2021,600W South Temple,504.4108032,12152.14657
9,9,0.016544749,4/24/2021,500 Underpass,93.94534357,543.9792268
10,3,0.104068796,4/24/2021,800W 600S,25.34276857,28.82708475
11,2,0.02901496,4/24/2021,KOA,33.25747279,68.92995884
12,4,0.018615042,4/24/2021,Genesee,95.90633289,214.879989
13,23,0.005443736,4/24/2021,Beck Street,253.1517612,4225.039602
14,4,0.003435548,4/24/2021,800W South Temple,251.8643982,1164.297395
15,6,0.009839126,4/24/2021,700 Underpass,126.4624788,609.8102552
16,12,0.008847008,4/24/2021,Lowes,265.800371,1356.390766
17,9,0.044358372,4/24/2021,9th & Second,83.03543035,202.89293
19,2,0.069648889,4/24/2021,Train Tracks 2,22.04226896,28.71546173
21,3,0.009672856,4/24/2021,Liberty 2,86.82149529,310.1462344
22,27,0.072335321,4/24/2021,215 Underpass,166.5444115,373.2616317
23,2,0.043611672,4/24/2021,700W & Tracks,27.1095836,45.85928333
