OBJECTID,Tents,Density,Date,Camps,Shape_Length,Shape_Area
1,12,0.009293328,9/9/2021,Train Tracks,202.3336549,1291.248885
2,10,0.001198773,9/9/2021,Liberty,542.9478909,8341.863378
3,2,0.005463922,9/9/2021,500 W South Temple,98.42053521,366.0374249
5,9,0.00317756,9/9/2021,Beck Street,221.0268844,2832.362336
6,27,0.004921952,9/9/2021,Train Tracks 2,448.9393436,5485.627934
7,4,0.02017002,9/9/2021,Foss ,63.41365646,198.3141319
8,2,0.028342627,9/9/2021,600 S 500 W,34.35776734,70.56508984
9,2,0.01034886,9/9/2021,Fairmont Park,57.81387997,193.2580026
10,4,0.021785368,9/9/2021,North Temple River,55.63009065,183.6094785
11,5,0.018831123,9/9/2021,Train Tracks 4,79.1301517,265.5178883
12,5,0.026486337,9/9/2021,Mead Ave,74.7989316,188.7765757
13,2,0.016632884,9/9/2021,KOA,46.35491861,120.24373
14,3,0.010635604,9/9/2021,Warm Springs,73.75309491,282.0714297
15,3,0.031738781,9/9/2021,Volney,39.82948247,94.52158794
16,3,0.038503409,9/9/2021,Murals West,36.68360157,77.91517841
17,2,0.035880192,9/9/2021,Roadhome 1,30.08841043,55.74106226
18,2,0.022099461,9/9/2021,Emeril,42.90366175,90.49994291
