OBJECTID,Tents,Density,Date,Camps,Shape_Length,Shape_Area
1,14,0.010842217,8/31/2021,Train Tracks,202.3336549,1291.248885
2,7,0.000839141,8/31/2021,Liberty,542.9478909,8341.863378
3,2,0.005463922,8/31/2021,500 W South Temple,98.42053521,366.0374249
4,2,0.01664475,8/31/2021,KOA,46.33507125,120.1580046
5,4,0.031021317,8/31/2021,Fairpark ,45.47488014,128.9435905
6,3,0.014649209,8/31/2021,Lowes,63.42151386,204.7892135
7,7,0.002471435,8/31/2021,Beck Street,221.0268844,2832.362336
8,25,0.008047985,8/31/2021,Train Tracks 2,333.6088503,3106.367715
9,2,0.013779487,8/31/2021,200 S Jeremy St,58.7294232,145.1432867
11,2,0.034467377,8/31/2021,Roadhome 1,30.81576403,58.02588291
12,2,0.015903666,8/31/2021,Foss ,47.24773659,125.7571668
13,2,0.028342627,8/31/2021,600 S 500 W,34.35776734,70.56508984
15,3,0.017911252,8/31/2021,Fairmont Park,59.47562315,167.4924774
16,2,0.014077889,8/31/2021,700W & Tracks,48.34781565,142.0667514
17,2,0.043512826,8/31/2021,Roadhome 3,27.48703755,45.96345869
