OBJECTID,Tents,Density,Date,Camps,Shape_Length,Shape_Area
2,16,0.012391105,8/16/2021,Train Tracks,202.3336549,1291.248885
4,6,0.000719264,8/16/2021,Liberty,542.9478909,8341.863378
5,2,0.005463922,8/16/2021,500 W South Temple,98.42053521,366.0374249
6,4,0.023255424,8/16/2021,700W & Tracks,53.45389367,172.0028813
7,2,0.01664475,8/16/2021,KOA,46.33507125,120.1580046
8,4,0.031021317,8/16/2021,Fairpark ,45.47488014,128.9435905
9,7,0.011079094,8/16/2021,Lowes,162.0428665,631.8205934
10,3,0.002259047,8/16/2021,Beck Street,144.3004011,1327.993555
11,2,0.01001138,8/16/2021,200 S 500 W,61.34609194,199.7726615
12,9,0.002679841,8/16/2021,Train Tracks 2,318.8897176,3358.408373
13,5,0.04191938,8/16/2021,Murals West,43.41189355,119.2765736
14,4,0.00867316,8/16/2021,Roadhome 3,143.5275029,461.1929014
17,2,0.024327964,8/16/2021,Fairmont,40.15814865,82.20992022
18,4,0.013571409,8/16/2021,600 S 200 W,83.86763666,294.7372763
19,2,0.006107684,8/16/2021,Jefferson Park,72.38731898,327.4563728
20,2,0.013779487,8/16/2021,200 S Jeremy St,58.7294232,145.1432867
21,2,0.006228039,8/16/2021,Madsen Park,73.60071133,321.1283879
22,3,0.017491422,8/16/2021,215 Underpass,68.76890587,171.5126429
