OBJECTID,Tents,Density,Date,Camps,Shape_Length,Shape_Area
1,19,0.032135818,5/6/2021,8th & Main,166.7554542,591.2405899
2,39,0.008876505,5/6/2021,Roadhome 1,449.846601,4393.621029
3,72,0.011567039,5/6/2021,Roadhome 2,1229.613913,6224.583723
5,8,0.012062227,5/6/2021,900S 500W,212.0306632,663.2274512
6,16,0.012391105,5/6/2021,Train Tracks,202.3336549,1291.248885
7,20,0.03676611,5/6/2021,500 Underpass,93.94534357,543.9792268
8,2,0.02901496,5/6/2021,KOA,33.25747279,68.92995884
9,22,0.005207052,5/6/2021,Beck Street,253.1517612,4225.039602
10,5,0.004294435,5/6/2021,800W South Temple,251.8643982,1164.297395
11,5,0.007843326,5/6/2021,700 Underpass,104.4621612,637.4846225
12,7,0.002850255,5/6/2021,Lowes,482.7868629,2455.920444
13,8,0.039429664,5/6/2021,9th & Second,83.03543035,202.89293
16,3,0.065417507,5/6/2021,700W & Tracks,27.1095836,45.85928333
17,5,0.007031694,5/6/2021,7th & State 1,129.1007086,711.0662087
18,6,0.066521701,5/6/2021,Murals West,58.3814407,90.19613047
20,4,0.004697773,5/6/2021,Redwood and North Temple,201.1178539,851.4672381
23,5,0.020715824,5/6/2021,700S Main,68.18961887,241.3613855
24,4,0.01651328,5/6/2021,600 S 200 W,105.9182733,242.2292853
25,3,0.006622001,5/6/2021,400S 500W,152.7773587,453.0352705
26,2,0.050827477,5/6/2021,Train Tracks 2,25.20578235,39.34879524
