OBJECTID,Tents,Density,Date,Camps,Shape_Length,Shape_Area
1,26,0.022428429,7/14/2021,8th & Main,323.7710062,1159.243047
2,27,0.00713112,7/14/2021,Roadhome 1,444.9978452,3786.221641
3,16,0.012391105,7/14/2021,Train Tracks,202.3336549,1291.248885
4,35,0.018013754,7/14/2021,500 Underpass,201.546834,1942.959771
5,10,0.009261218,7/14/2021,800W South Temple,233.2427302,1079.771574
6,9,0.007785877,7/14/2021,700 Underpass,136.5614306,1155.939212
7,5,0.003830263,7/14/2021,Smiths 500S,524.5927703,1305.393379
8,47,0.009077034,7/14/2021,600W South Temple,433.6377968,5177.90297
9,9,0.026019285,7/14/2021,700S Main,107.6480078,345.8972812
10,5,0.004269971,7/14/2021,Liberty,184.3904781,1170.968093
13,7,0.006679131,7/14/2021,Genesee,134.5690101,1048.040468
14,20,0.021307062,7/14/2021,Taufer,225.6105053,938.6559122
15,3,0.020634778,7/14/2021,7th & State 2,49.31080759,145.3856178
16,51,0.003248596,7/14/2021,Roadhome 2,1412.757216,15699.09136
17,2,0.005463922,7/14/2021,500 W South Temple,98.42053521,366.0374249
18,2,0.025379457,7/14/2021,Downignton,41.80830999,78.80389121
19,2,0.011627712,7/14/2021,700W & Tracks,53.45389367,172.0028813
20,5,0.028144761,7/14/2021,500 S 400 E,65.33139961,177.6529569
21,3,0.016936372,7/14/2021,Liberty Wells,62.517091,177.1335629
22,5,0.010431234,7/14/2021,Madsen Park,103.5990855,479.3296596
23,2,0.012573357,7/14/2021,Lowes,50.73805676,159.0665051
