OBJECTID,Tents,Density,Date,Camps,Shape_Length,Shape_Area
1,16,0.011660336,6/29/2021,8th & Main,233.3188848,821.645085
2,23,0.023553777,6/29/2021,Roadhome 1,334.9875537,976.4888407
3,10,0.00774444,6/29/2021,Train Tracks,202.3336549,1291.248885
4,45,0.022131184,6/29/2021,500 Underpass,201.546834,1942.959771
5,20,0.004733683,6/29/2021,Beck Street,253.1517612,4225.039602
6,12,0.00916133,6/29/2021,800W South Temple,306.4308472,1419.007922
7,6,0.04987914,6/29/2021,700 Underpass,136.5614306,1155.939212
8,4,0.026397558,6/29/2021,700W & Tracks,56.82151799,151.5291657
9,4,0.021249342,6/29/2021,Train Tracks 3,59.82821682,202.2772843
10,4,0.00190205,6/29/2021,KOA,486.9537051,3201.523836
11,5,0.025479774,6/29/2021,Smiths 500S,48.43546475,144.50931
12,41,0.01165472,6/29/2021,600W South Temple,345.3100254,3517.888107
13,5,0.024027679,6/29/2021,700S Main,82.35983344,249.712011
14,4,0.002561926,6/29/2021,Liberty,184.3926793,1170.994136
15,11,0.026736318,6/29/2021,600 S 200 W,128.3745415,274.1217602
16,4,0.012365396,6/29/2021,200 S 500 W,101.2454655,323.48338
17,3,0.004770808,6/29/2021,Genesee,134.5690101,1048.040468
18,11,0.013277648,6/29/2021,Taufer,196.5418548,833.6062688
19,3,0.013756519,6/29/2021,7th & State 2,49.31080759,145.3856178
20,38,0.003707703,6/29/2021,Roadhome 2,616.4323725,8360.971885
22,3,0.014595422,6/29/2021,500 W South Temple,62.46734937,205.5439022
23,5,0.016868049,6/29/2021,Sugarmont,90.34345187,296.4183931
25,3,0.001122595,6/29/2021,Roadhome 3,396.5824162,2672.379376
