OBJECTID,Tents,Density,Date,Camps,Shape_Length,Shape_Area
1,31,0.029989305,3/31/2021,Murals East,305.56161,1033.701841
2,44,0.030479012,3/31/2021,Murals South,398.0381412,1443.616354
3,12,0.049724046,3/31/2021,8th & Main,91.43058957,241.3319296
4,41,0.009264325,3/31/2021,Roadhome 1,427.0708442,4425.578939
5,90,0.006442541,3/31/2021,Roadhome 2,966.8936793,13969.64336
6,39,0.04318133,3/31/2021,Murals North,535.1231372,903.1681133
7,6,0.006072409,3/31/2021,Liberty,170.9565702,988.0757626
8,7,0.015445897,3/31/2021,900S 500W,161.8174447,453.1947808
9,3,0.015625199,3/31/2021,North Temple 2,100.8545624,191.9975566
10,7,0.005498248,3/31/2021,7th & State 2,303.6847548,1273.132921
11,2,0.022462079,3/31/2021,400S 500W,39.56801936,89.03895267
12,2,0.039821283,3/31/2021,Liberty Wells,28.37836047,50.22439831
14,12,0.009293328,3/31/2021,Train Tracks,202.3336549,1291.248885
15,2,0.094220149,3/31/2021,KOA,18.45897144,21.22688219
16,2,0.025978647,3/31/2021,North Temple 1,37.84437129,76.98630199
17,2,0.071318406,3/31/2021,Smiths 500S,21.50129508,28.04325156
