OBJECTID,Tents,Density,Date,Camps,Shape_Length,Shape_Area
1,14,0.023679024,4/30/2021,8th & Main,166.7554542,591.2405899
2,45,0.009757911,4/30/2021,Roadhome 1,515.6940122,4611.642907
3,31,0.013623265,4/30/2021,Roadhome 2,1087.484561,2275.519103
4,6,0.002488424,4/30/2021,Liberty,382.2745843,2411.164415
5,25,0.026336464,4/30/2021,900S 500W,293.3036799,949.2542195
7,16,0.012391105,4/30/2021,Train Tracks,202.3336549,1291.248885
9,17,0.031251193,4/30/2021,500 Underpass,93.94534357,543.9792268
10,2,0.02901496,4/30/2021,KOA,33.25747279,68.92995884
11,4,0.018615042,4/30/2021,Genesee,95.90633289,214.879989
12,20,0.004733683,4/30/2021,Beck Street,253.1517612,4225.039602
13,5,0.004294435,4/30/2021,800W South Temple,251.8643982,1164.297395
14,4,0.013526854,4/30/2021,700 Underpass,83.92694503,295.7080781
15,4,0.009072561,4/30/2021,Lowes,100.7272401,440.8898237
16,9,0.044358372,4/30/2021,9th & Second,83.03543035,202.89293
18,2,0.006448678,4/30/2021,Liberty 2,86.80784078,310.1411016
19,25,0.066977149,4/30/2021,215 Underpass,166.5444115,373.2616317
20,2,0.043611672,4/30/2021,700W & Tracks,27.1095836,45.85928333
21,3,0.007151196,4/30/2021,7th & State 1,87.74625128,419.5102705
22,2,0.069942081,4/30/2021,Murals West,22.09825329,28.59508851
23,2,0.086668131,4/30/2021,Richmond Park,19.37639295,23.07653329
24,44,0.002777035,4/30/2021,600 S 400 W,781.0525673,15844.23884
