OBJECTID,Tents,Density,Date,Camps,Shape_Length,Shape_Area
1,24,0.023217527,4/6/2021,Murals East,305.56161,1033.701841
2,44,0.027620028,4/6/2021,Murals South,398.7017072,1593.04689
3,10,0.039300648,4/6/2021,8th & Main,100.0328282,254.4487304
4,31,0.015071071,4/6/2021,Roadhome 1,385.9508631,2056.920792
5,2,0.022833262,4/6/2021,Roadhome 2,66.05592015,87.59151641
6,35,0.045990244,4/6/2021,Murals North,403.9029015,761.0309646
7,8,0.008096545,4/6/2021,Liberty,170.9565702,988.0757626
8,7,0.015445897,4/6/2021,900S 500W,161.8174447,453.1947808
10,17,0.009418531,4/6/2021,7th & State 2,369.6785381,1804.952461
12,3,0.004012721,4/6/2021,Liberty Wells,205.491124,747.6224451
13,15,0.011616661,4/6/2021,Train Tracks,202.3336549,1291.248885
15,38,0.005641161,4/6/2021,600W South Temple,396.3711054,6736.201797
16,2,0.00531164,4/6/2021,500 Underpass,119.0604306,376.5315774
17,3,0.017810143,4/6/2021,800W 600S,64.10212023,168.4433408
18,2,0.02901496,4/6/2021,KOA,33.25747279,68.92995884
19,2,0.118318464,4/6/2021,Front Runner,16.56722867,16.90353249
20,2,0.031354361,4/6/2021,1300 & State,38.54212166,63.78698011
