OBJECTID,Tents,Shape_Length,Shape_Area,Density,Date,Camp
1,16,131.216849,567.0217397,0.028217613,2/9/2021,7th & State 1
2,5,88.54700076,352.8982194,0.014168391,2/9/2021,7th & State 2
3,13,112.3757138,609.9368926,0.02131368,2/9/2021,Murals East
4,17,289.4074062,1035.787096,0.016412639,2/9/2021,Murals South
5,25,219.086051,1276.843975,0.019579526,2/9/2021,Murals West
6,4,96.67162416,284.8641951,0.014041779,2/9/2021,8th & Main
7,18,322.8301949,4149.374997,0.004338003,2/9/2021,Roadhome 1
11,28,458.0782103,3396.528124,0.008243712,2/9/2021,Lowes
