OBJECTID,Tents,Density,Date,Camps,Shape_Length,Shape_Area
1,14,0.026328982,6/14/2021,8th & Main,155.8986037,531.7334392
2,39,0.009084415,6/14/2021,Roadhome 1,336.5641524,4293.066869
3,125,0.005280717,6/14/2021,Roadhome Combined,1537.15604,23671.02846
4,12,0.009293328,6/14/2021,Train Tracks,202.3336549,1291.248885
5,38,0.023705903,6/14/2021,500 Underpass,199.6421896,1602.976266
6,20,0.004733683,6/14/2021,Beck Street,253.1517612,4225.039602
7,7,0.012679918,6/14/2021,800W South Temple,128.7878022,552.054054
8,8,0.017498116,6/14/2021,700 Underpass,124.4505724,457.1920834
9,4,0.026397558,6/14/2021,700W & Tracks,56.82151799,151.5291657
10,6,0.019819523,6/14/2021,Train Tracks 3,78.88469752,302.7318062
11,3,0.003222092,6/14/2021,KOA,235.6552695,931.0721218
12,4,0.004140563,6/14/2021,Smiths 500S,295.6718558,966.0521307
13,6,0.044203794,6/14/2021,600W South Temple,51.73027612,135.7349562
14,4,0.040032063,6/14/2021,Train Tracks 2,45.75338907,99.91990785
15,7,0.013681847,6/14/2021,700S Main,156.9875555,511.6268143
16,7,0.005977827,6/14/2021,Liberty,184.3926793,1170.994136
18,3,0.015812399,6/14/2021,Madsen Park,59.50835529,189.7245299
19,4,0.029045465,6/14/2021,600 S 200 W,69.29688626,137.7151326
20,4,0.012365396,6/14/2021,200 S 500 W,101.2454655,323.48338
21,2,0.019651531,6/14/2021,Redwood and North Temple,42.23228996,101.7732401
22,5,0.004770808,6/14/2021,Genesee,134.5690101,1048.040468
23,6,0.003586257,6/14/2021,Taufer,392.8894278,1673.053585
