OBJECTID,Tents,Density,Date,Camps,Shape_Length,Shape_Area
1,16,0.012391105,8/28/2021,Train Tracks,202.3336549,1291.248885
2,4,0.000479509,8/28/2021,Liberty,542.9478909,8341.863378
3,2,0.005463922,8/28/2021,500 W South Temple,98.42053521,366.0374249
4,2,0.01664475,8/28/2021,KOA,46.33507125,120.1580046
5,4,0.031021317,8/28/2021,Fairpark ,45.47488014,128.9435905
6,3,0.014649209,8/28/2021,Lowes,63.42151386,204.7892135
7,7,0.002471435,8/28/2021,Beck Street,221.0268844,2832.362336
9,15,0.005659626,8/28/2021,Train Tracks 2,320.4626514,2650.351794
11,3,0.02066923,8/28/2021,200 S Jeremy St,58.7294232,145.1432867
13,3,0.017491422,8/28/2021,215 Underpass,68.76890587,171.5126429
16,2,0.034467377,8/28/2021,Roadhome 1,30.81576403,58.02588291
19,2,0.015903666,8/28/2021,Foss ,47.24773659,125.7571668
20,2,0.028342627,8/28/2021,600 S 500 W,34.35776734,70.56508984
21,3,0.064241854,8/28/2021,Mead Ave,32.34785614,46.69852769
22,3,0.052488178,8/28/2021,Fairmont,30.19992603,57.15572779
