OBJECTID,Tents,Density,Date,Camps,Shape_Length,Shape_Area
1,15,0.029323638,6/5/2021,8th & Main,153.3625101,511.5327157
2,63,0.013996388,6/5/2021,Roadhome 1,448.9795027,4501.161369
3,147,0.006210123,6/5/2021,Roadhome Combined,1537.15604,23671.02846
4,18,0.013939993,6/5/2021,Train Tracks,202.3336549,1291.248885
5,36,0.022458224,6/5/2021,500 Underpass,199.6421896,1602.976266
6,20,0.004733683,6/5/2021,Beck Street,253.1517612,4225.039602
7,3,0.00543425,6/5/2021,800W South Temple,128.7878022,552.054054
8,4,0.008749058,6/5/2021,700 Underpass,124.4505724,457.1920834
10,3,0.019798169,6/5/2021,700W & Tracks,56.82151799,151.5291657
11,10,0.01092468,6/5/2021,Redwood and North Temple,176.3531388,915.3585844
13,4,0.016530373,6/5/2021,Train Tracks 3,66.55975274,241.978815
14,4,0.003078169,6/5/2021,KOA,352.6036894,1299.474016
15,4,0.006901989,6/5/2021,Smiths 500S,177.4135011,579.5430562
17,7,0.017336502,6/5/2021,600W South Temple,126.579798,403.7723339
18,4,0.040032063,6/5/2021,Train Tracks 2,45.75338907,99.91990785
19,7,0.013681847,6/5/2021,700S Main,156.9875555,511.6268143
22,3,0.001137724,6/5/2021,Liberty,385.2088382,2636.844347
23,2,0.021002141,6/5/2021,600S 300E,40.57949302,95.2283843
