OBJECTID,Tents,Density,Date,Camps,Shape_Length,Shape_Area
1,18,0.011660336,6/26/2021,8th & Main,422.9883072,1543.694843
2,23,0.023553777,6/26/2021,Roadhome 1,334.9875537,976.4888407
3,10,0.00774444,6/26/2021,Train Tracks,202.3336549,1291.248885
4,43,0.022131184,6/26/2021,500 Underpass,201.546834,1942.959771
5,20,0.004733683,6/26/2021,Beck Street,253.1517612,4225.039602
6,13,0.00916133,6/26/2021,800W South Temple,306.4308472,1419.007922
7,3,0.04987914,6/26/2021,700 Underpass,31.07169479,60.14538359
8,4,0.026397558,6/26/2021,700W & Tracks,56.82151799,151.5291657
9,8,0.021249342,6/26/2021,Train Tracks 3,101.0312902,376.4822452
10,10,0.00190205,6/26/2021,KOA,571.4337568,5257.486142
11,2,0.025479774,6/26/2021,Smiths 500S,36.47674785,78.49363207
12,41,0.01165472,6/26/2021,600W South Temple,345.3100254,3517.888107
13,6,0.024027679,6/26/2021,700S Main,82.35983344,249.712011
14,3,0.002561926,6/26/2021,Liberty,184.3926793,1170.994136
15,10,0.026736318,6/26/2021,600 S 200 W,164.2744683,374.0230774
16,4,0.012365396,6/26/2021,200 S 500 W,101.2454655,323.48338
17,5,0.004770808,6/26/2021,Genesee,134.5690101,1048.040468
18,14,0.013277648,6/26/2021,Taufer,226.3946631,1054.403618
19,2,0.013756519,6/26/2021,7th & State 2,49.31080759,145.3856178
20,31,0.003707703,6/26/2021,Roadhome 2,616.4323725,8360.971885
21,2,0.005342687,6/26/2021,Madsen Park,82.77881759,374.3434686
22,3,0.014595422,6/26/2021,500 W South Temple,62.46734937,205.5439022
23,5,0.016868049,6/26/2021,Sugarmont,90.34345187,296.4183931
24,3,0.002503977,6/26/2021,7th & State 1,276.2838263,1198.0939
25,3,0.001122595,6/26/2021,Roadhome 3,396.5824162,2672.379376
27,2,0.006071874,6/26/2021,Roadhome 4,102.5011101,329.3876217
