OBJECTID,Tents,Density,Date,Shape_Length,Shape_Area,Camp
1,15,0.026338234,2/20/2021,113.1993749,569.5142564,Murals East
2,28,0.021419479,2/20/2021,366.4647615,1307.221366,Murals South
3,20,0.022381825,2/20/2021,210.4687124,893.5821673,Murals West
4,7,0.00851533,2/20/2021,247.4253566,822.0468138,8th & Main
5,25,0.006267814,2/20/2021,565.1513411,3988.631745,Lowes
8,2,0.009345618,2/20/2021,95.55156545,214.0040325,North Temple 1
9,28,0.005641317,2/20/2021,365.1489413,4963.380389,KOA
