OBJECTID,Tents,Shape_Length,Shape_Area,Density,Date,Camp
3,14,112.3757138,609.9368926,0.022953194,2/11/2021,Murals East
4,17,289.4074062,1035.787096,0.016412639,2/11/2021,Murals South
5,25,219.086051,1276.843975,0.019579526,2/11/2021,Murals West
6,4,96.67162416,284.8641951,0.014041779,2/11/2021,8th & Main
8,28,458.0782103,3396.528124,0.008243712,2/11/2021,Lowes
