OBJECTID,Tents,Density,Date,Camps,Shape_Length,Shape_Area
2,6,0.009519606,8/4/2021,Roadhome 1,214.5898656,630.2782133
3,16,0.012391105,8/4/2021,Train Tracks,202.3336549,1291.248885
6,3,0.003306548,8/4/2021,Smiths 500S,312.0556132,907.2906725
7,4,0.01934343,8/4/2021,700S Main,69.55441398,206.7885617
8,8,0.000959018,8/4/2021,Liberty,542.9478909,8341.863378
9,9,0.008587455,8/4/2021,Genesee,134.5690101,1048.040468
10,2,0.005463922,8/4/2021,500 W South Temple,98.42053521,366.0374249
11,3,0.022329097,8/4/2021,Downignton,65.59825517,134.3538443
12,2,0.011627712,8/4/2021,700W & Tracks,53.45389367,172.0028813
13,4,0.01598441,8/4/2021,Liberty Wells,83.72279408,250.2438254
14,2,0.01664475,8/4/2021,KOA,46.33507125,120.1580046
16,2,0.007382442,8/4/2021,Fairmont,66.09405965,270.9130722
17,3,0.023265988,8/4/2021,Fairpark ,45.47488014,128.9435905
18,4,0.09110152,8/4/2021,Elder ,29.24372673,43.90706088
19,4,0.006339989,8/4/2021,Lowes,162.0195564,630.9158898
20,3,0.014715036,8/4/2021,900 S Main,84.46568451,203.8730936
22,3,0.033466904,8/4/2021,Sherwood,39.92801866,89.6407981
24,2,0.014294269,8/4/2021,800 S 200 E,47.32225781,139.9162128
25,4,0.001442053,8/4/2021,Beck Street,207.3919245,2773.822622
26,3,0.059038533,8/4/2021,215 Underpass,30.36747913,50.81427033
27,2,0.017284743,8/4/2021,Madsen Park,49.79348201,115.7089826
28,7,0.011223923,8/4/2021,900S 500W,228.2326092,623.667851
29,3,0.023486458,8/4/2021,900 S West Temple,71.332734,127.7331821
30,4,0.019097747,8/4/2021,600S 300E,71.79919798,209.4487946
32,2,0.01001138,8/4/2021,200 S 500 W,61.34609194,199.7726615
