OBJECTID,Tents,Density,Date,Camps,Shape_Length,Shape_Area
1,7,0.000683243,10/3/2021,Liberty,809.3065237,10245.25233
2,6,0.008017546,10/3/2021,500 W South Temple,193.0663043,748.3586779
3,13,0.004006136,10/3/2021,Beck Street,277.8151217,3245.022183
4,8,0.024537621,10/3/2021,Mead Ave,128.9808717,326.0299781
5,2,0.016217556,10/3/2021,KOA,46.69200358,123.3231437
6,2,0.035880192,10/3/2021,Roadhome 1,30.08841043,55.74106226
7,2,0.021277687,10/3/2021,South Temple Underpass,41.94799647,93.99517765
9,4,0.087418544,10/3/2021,Downignton,29.25623473,45.75688183
12,2,0.013139807,10/3/2021,Warm Springs,49.64979572,152.2092424
13,2,0.01065188,10/3/2021,Navajo St ,62.66843381,187.760291
15,2,0.0278691,10/3/2021,Train Tracks 2,35.50422038,71.7640694
16,3,0.031360057,10/3/2021,7th & State 2,39.20317514,95.66309171
17,4,0.040889264,10/3/2021,Volney,40.38361923,97.82518846
