OBJECTID,Tents,Density,Date,Camps,Shape_Length,Shape_Area
1,22,0.015119251,5/12/2021,8th & Main,397.5917002,1455.098492
2,50,0.009665579,5/12/2021,Roadhome 1,448.9476043,5172.995834
3,84,0.011644514,5/12/2021,Roadhome 2,1158.962147,7213.697371
4,2,0.007503414,5/12/2021,900S 500W,75.50518367,266.5453268
5,14,0.010842217,5/12/2021,Train Tracks,202.3336549,1291.248885
6,25,0.045957637,5/12/2021,500 Underpass,93.94534357,543.9792268
8,18,0.004260315,5/12/2021,Beck Street,253.1517612,4225.039602
9,4,0.004957176,5/12/2021,800W South Temple,182.6681867,806.9110242
10,3,0.013767869,5/12/2021,700 Underpass,61.23557162,217.8986387
11,8,0.003257435,5/12/2021,Lowes,482.7868629,2455.920444
13,5,0.032996948,5/12/2021,700W & Tracks,56.82151799,151.5291657
14,6,0.008438033,5/12/2021,7th & State 1,129.1007086,711.0662087
15,7,0.010880174,5/12/2021,Redwood and North Temple,102.8640574,643.3720586
16,5,0.020715824,5/12/2021,700S Main,68.18961887,241.3613855
17,7,0.018700886,5/12/2021,600 S 200 W,160.1738745,374.3138224
18,20,0.017497146,5/12/2021,400S 500W,446.173091,1143.043573
20,4,0.039422482,5/12/2021,Train Tracks 3,40.35367295,101.4649446
21,3,0.02425522,5/12/2021,Mead Ave,54.33452042,123.6847164
22,5,0.004737419,5/12/2021,Genesee,134.9686416,1055.42693
23,2,0.043242916,5/12/2021,Ballpark,29.87141528,46.25034967
