OBJECTID,Tents,Density,Date,Camps,Shape_Length,Shape_Area
2,5,0.000599386,9/24/2021,Liberty,542.9478909,8341.863378
3,4,0.010950947,9/24/2021,500 W South Temple,105.4847486,365.2652286
4,12,0.003697972,9/24/2021,Beck Street,277.8151217,3245.022183
6,4,0.020223077,9/24/2021,Foss ,63.38294552,197.7938338
8,5,0.013896188,9/24/2021,Mead Ave,144.3036222,359.8109001
9,2,0.016217556,9/24/2021,KOA,46.69200358,123.3231437
10,4,0.008180381,9/24/2021,Volney,137.4459239,488.9747882
12,2,0.035880192,9/24/2021,Roadhome 1,30.08841043,55.74106226
13,2,0.022099461,9/24/2021,Emeril,42.90366175,90.49994291
14,4,0.019388354,9/24/2021,South Temple Underpass,75.691138,206.3094154
15,2,0.02525302,9/24/2021,600 S 200 W,35.63329944,79.19844764
18,4,0.087418544,9/24/2021,Downignton,29.25623473,45.75688183
20,3,0.024865131,9/24/2021,Fairmont,53.16286308,120.6508826
21,2,0.080214627,9/24/2021,Montrose,20.63267769,24.93310855
22,2,0.018546059,9/24/2021,400S RioGrande,43.9624286,107.8396225
23,4,0.007885964,9/24/2021,Fairpark,112.9226163,507.2302909
