OBJECTID,Tents,Density,Date,Camps,Shape_Length,Shape_Area
1,21,0.033473782,3/10/2021,Murals East,114.6362086,627.3566527
2,46,0.035194414,3/10/2021,Murals South,366.6970154,1307.025614
3,10,0.012164757,3/10/2021,8th & Main,247.4253566,822.0468138
4,33,0.009534562,3/10/2021,Lowes,497.4845275,3461.092531
5,3,0.014018427,3/10/2021,North Temple 1,95.55156545,214.0040325
6,39,0.008812406,3/10/2021,Roadhome 1,427.0708442,4425.578939
7,60,0.004116812,3/10/2021,Roadhome 2,873.7112191,14574.38431
8,8,0.025058262,3/10/2021,Murals North,99.41355385,319.2559766
10,3,0.058989141,3/10/2021,Liberty Wells,28.54817072,50.85681768
11,3,0.003036204,3/10/2021,Liberty,170.9565702,988.0757626
13,5,0.021245913,3/10/2021,9th & Second,93.51597517,235.3393756
14,2,0.083369376,3/10/2021,Sears,20.04207034,23.98962412
15,2,0.005859567,3/10/2021,900S 500W,129.815453,341.3221508
