OBJECTID,Tents,Density,Date,Camps,Shape_Length,Shape_Area
1,35,0.027495366,7/29/2021,8th & Main,355.3258581,1272.941753
2,8,0.003131135,7/29/2021,Roadhome 1,282.791744,2554.984189
3,16,0.012391105,7/29/2021,Train Tracks,202.3336549,1291.248885
4,56,0.018026145,7/29/2021,500 Underpass,297.0617724,3106.598723
5,16,0.005831412,7/29/2021,700 Underpass,239.1101889,2743.760895
6,5,0.004751454,7/29/2021,Smiths 500S,452.8697539,1052.309565
8,10,0.028910317,7/29/2021,700S Main,107.6480078,345.8972812
9,9,0.001078896,7/29/2021,Liberty,542.9478909,8341.863378
10,7,0.006679131,7/29/2021,Genesee,134.5690101,1048.040468
11,11,0.016268528,7/29/2021,Taufer,160.0985721,676.152158
12,3,0.020634778,7/29/2021,7th & State 2,49.31080759,145.3856178
14,2,0.005463922,7/29/2021,500 W South Temple,98.42053521,366.0374249
15,4,0.029772129,7/29/2021,Downignton,65.59825517,134.3538443
16,2,0.011627712,7/29/2021,700W & Tracks,53.45389367,172.0028813
17,3,0.028773346,7/29/2021,500 S 400 E,44.00419812,104.2631616
18,6,0.01799653,7/29/2021,Liberty Wells,106.1792935,333.397598
19,2,0.01664475,7/29/2021,KOA,46.33507125,120.1580046
22,3,0.019294083,7/29/2021,600 S 200 W,53.49745975,155.4880819
23,3,0.011073663,7/29/2021,Fairmont,66.09405965,270.9130722
25,3,0.023265988,7/29/2021,Fairpark ,45.47488014,128.9435905
26,7,0.021391545,7/29/2021,400 S 500 W,102.8102411,327.2320937
28,2,0.034683572,7/29/2021,500 S 500 W,33.34930656,57.66418832
29,2,0.045550767,7/29/2021,Elder ,29.24372507,43.90705421
30,3,0.017425368,7/29/2021,Lowes,60.38498738,172.1627901
