OBJECTID,Tents,Density,Date,Camps,Shape_Length,Shape_Area
1,33,0.028466852,7/26/2021,8th & Main,323.7710062,1159.243047
2,33,0.012580988,7/26/2021,Roadhome 1,444.1425285,2623.005438
3,15,0.011616661,7/26/2021,Train Tracks,202.3336549,1291.248885
4,37,0.019043112,7/26/2021,500 Underpass,201.546834,1942.959771
5,8,0.006920779,7/26/2021,700 Underpass,136.5614306,1155.939212
6,3,0.002298158,7/26/2021,Smiths 500S,524.5927703,1305.393379
7,43,0.007692322,7/26/2021,600W South Temple,441.3447574,5589.989778
8,11,0.031801349,7/26/2021,700S Main,107.6480078,345.8972812
9,5,0.004269971,7/26/2021,Liberty,184.3904781,1170.968093
10,6,0.00572497,7/26/2021,Genesee,134.5690101,1048.040468
11,12,0.011078735,7/26/2021,Taufer,252.4762356,1083.156145
12,4,0.027513038,7/26/2021,7th & State 2,49.31080759,145.3856178
13,84,0.003167009,7/26/2021,Roadhome 2,1667.61645,26523.4524
14,2,0.005463922,7/26/2021,500 W South Temple,98.42053521,366.0374249
15,2,0.025379457,7/26/2021,Downignton,41.80830999,78.80389121
16,2,0.011627712,7/26/2021,700W & Tracks,53.45389367,172.0028813
17,3,0.016886857,7/26/2021,500 S 400 E,65.33139961,177.6529569
18,3,0.008998265,7/26/2021,Liberty Wells,106.1792935,333.397598
19,3,0.002388781,7/26/2021,KOA,306.5264882,1255.870499
21,4,0.004514547,7/26/2021,Roadhome 3,209.4149648,886.0245691
22,8,0.004638761,7/26/2021,600 S 200 W,629.0249707,1724.598359
23,3,0.011073663,7/26/2021,Fairmont,66.09405965,270.9130722
