OBJECTID,Tents,Density,Date,Camps,Shape_Length,Shape_Area
1,25,0.02291251,5/18/2021,8th & Main,290.5911727,1091.10698
2,46,0.010216618,5/18/2021,Roadhome 1,448.9690107,4502.468261
3,86,0.011221282,5/18/2021,Roadhome 2,1294.910332,7664.008747
4,16,0.012391105,5/18/2021,Train Tracks,202.3336549,1291.248885
5,28,0.051472554,5/18/2021,500 Underpass,93.94534357,543.9792268
6,24,0.00568042,5/18/2021,Beck Street,253.1517612,4225.039602
7,4,0.017892362,5/18/2021,800W South Temple,64.27359456,223.5590841
8,6,0.020756609,5/18/2021,700 Underpass,81.99879321,289.0645619
9,8,0.005447976,5/18/2021,Lowes,293.7602813,1468.435368
10,5,0.032996948,5/18/2021,700W & Tracks,56.82151799,151.5291657
11,6,0.008438033,5/18/2021,7th & State 1,129.1007086,711.0662087
12,14,0.021760348,5/18/2021,Redwood and North Temple,102.8640574,643.3720586
13,5,0.020715824,5/18/2021,700S Main,68.18961887,241.3613855
14,7,0.018700886,5/18/2021,600 S 200 W,160.1738745,374.3138224
15,24,0.038066181,5/18/2021,400S 500W,261.7655751,630.4808913
16,4,0.039422482,5/18/2021,Train Tracks 3,40.35367295,101.4649446
17,5,0.004737419,5/18/2021,Genesee,134.9686416,1055.42693
19,2,0.031685605,5/18/2021,KOA,31.80349493,63.12014546
21,2,0.00826505,5/18/2021,Big Lots,81.86373053,241.9827999
22,2,0.029128428,5/18/2021,600 S 500 W,37.81893999,68.66144745
23,4,0.007852882,5/18/2021,Smiths 500S,156.0381947,509.3671215
