OBJECTID,Tents,Density,Date,Camps,Shape_Length,Shape_Area
1,26,0.02515232,4/3/2021,Murals East,305.56161,1033.701841
2,54,0.033670004,4/3/2021,Murals South,398.1033784,1603.801403
3,14,0.055020907,4/3/2021,8th & Main,100.0328282,254.4487304
4,28,0.00722349,4/3/2021,Roadhome 1,563.9568818,3876.242516
5,4,0.01326662,4/3/2021,Roadhome 2,159.2885913,301.508595
6,39,0.04318133,4/3/2021,Murals North,535.1231372,903.1681133
7,6,0.006072409,4/3/2021,Liberty,170.9565702,988.0757626
8,7,0.015445897,4/3/2021,900S 500W,161.8174447,453.1947808
9,3,0.015625199,4/3/2021,North Temple 2,100.8545624,191.9975566
10,15,0.008310468,4/3/2021,7th & State 2,369.6785381,1804.952461
11,2,0.022462079,4/3/2021,400S 500W,39.56801936,89.03895267
12,2,0.039821283,4/3/2021,Liberty Wells,28.37836047,50.22439831
13,12,0.009293328,4/3/2021,Train Tracks,202.3336549,1291.248885
16,2,0.071318406,4/3/2021,Smiths 500S,21.50129508,28.04325156
17,32,0.010631081,4/3/2021,600W South Temple,280.7772019,3010.04198
18,2,0.00531164,4/3/2021,500 Underpass,119.0604306,376.5315774
19,3,0.017810143,4/3/2021,800W 600S,64.10212023,168.4433408
