OBJECTID,Tents,Density,Date,Camps,Shape_Length,Shape_Area
1,32,0.026554602,3/22/2021,Murals East,419.5039176,1205.064178
2,46,0.032041488,3/22/2021,Murals South,382.1254019,1435.638676
3,14,0.015652708,3/22/2021,8th & Main,269.4640563,894.4139038
4,46,0.01039412,3/22/2021,Roadhome 1,427.0708442,4425.578939
5,80,0.005717174,3/22/2021,Roadhome 2,875.4862145,13992.92725
6,32,0.047699163,3/22/2021,Murals North,332.1824785,670.8713103
7,2,0.039326094,3/22/2021,Liberty Wells,28.54817072,50.85681768
8,2,0.002024136,3/22/2021,Liberty,170.9565702,988.0757626
9,3,0.021067524,3/22/2021,9th & Second,61.11702259,142.3992696
10,2,0.019639954,3/22/2021,900S 500W,47.29142599,101.8332334
11,4,0.039790394,3/22/2021,North Temple 2,56.66113575,100.5267762
12,2,0.0083507,3/22/2021,500 Underpass,70.93229556,239.5008881
13,6,0.01745148,3/22/2021,7th & State 2,86.76911774,343.8103774
14,7,0.004334279,3/22/2021,700 Underpass,165.912156,1615.032092
15,2,0.003358055,3/22/2021,North Temple 1,177.769543,595.5828111
16,2,0.031217635,3/22/2021,1300 & State,38.59798387,64.06635314
17,2,0.015925578,3/22/2021,Lowes,59.4252451,125.5841385
18,3,0.002396556,3/22/2021,Smiths 500S,461.4985973,1251.796562
