OBJECTID,Tents,Density,Date,Camps,Shape_Length,Shape_Area
1,32,0.028751061,3/19/2021,Murals East,377.3385069,1113.002421
2,46,0.035194414,3/19/2021,Murals South,366.6970154,1307.025614
3,12,0.013416607,3/19/2021,8th & Main,269.4640563,894.4139038
6,42,0.009490284,3/19/2021,Roadhome 1,427.0708442,4425.578939
7,74,0.005288386,3/19/2021,Roadhome 2,875.4862145,13992.92725
8,16,0.029067978,3/19/2021,Murals North,248.8539794,550.4338846
9,3,0.058989141,3/19/2021,Liberty Wells,28.54817072,50.85681768
10,3,0.003036204,3/19/2021,Liberty,170.9565702,988.0757626
11,3,0.021067524,3/19/2021,9th & Second,61.11702259,142.3992696
12,2,0.019639954,3/19/2021,900S 500W,47.29142599,101.8332334
13,2,0.019895197,3/19/2021,North Temple 2,56.66113575,100.5267762
14,4,0.016701399,3/19/2021,500 Underpass,70.93229556,239.5008881
15,7,0.01336564,3/19/2021,7th & State 2,125.292166,523.7309909
16,7,0.004334279,3/19/2021,700 Underpass,165.912156,1615.032092
17,2,0.01772993,3/19/2021,North Temple 1,45.3804451,112.8036037
18,2,0.031217635,3/19/2021,1300 & State,38.59798387,64.06635314
19,3,0.002379749,3/19/2021,Smiths 500S,461.4650926,1260.637303
