OBJECTID,Tents,Density,Date,Camps,Shape_Length,Shape_Area
1,22,0.035067772,3/16/2021,Murals East,114.6362086,627.3566527
2,43,0.032899126,3/16/2021,Murals South,366.6970154,1307.025614
3,13,0.014534658,3/16/2021,8th & Main,269.4640563,894.4139038
4,38,0.010909958,3/16/2021,Lowes,497.7792854,3483.056553
5,4,0.015679622,3/16/2021,North Temple 1,112.7201086,255.1081963
6,42,0.009490284,3/16/2021,Roadhome 1,427.0708442,4425.578939
7,68,0.00486946,3/16/2021,Roadhome 2,862.2511999,13964.58819
8,11,0.026451707,3/16/2021,Murals North,156.7737327,415.8521778
9,3,0.058989141,3/16/2021,Liberty Wells,28.54817072,50.85681768
10,3,0.003036204,3/16/2021,Liberty,170.9565702,988.0757626
11,3,0.021067524,3/16/2021,9th & Second,61.11702259,142.3992696
12,2,0.019639954,3/16/2021,900S 500W,47.29142599,101.8332334
13,2,0.019895197,3/16/2021,North Temple 2,56.66113575,100.5267762
15,5,0.020876749,3/16/2021,500 Underpass,70.93229556,239.5008881
16,3,0.035201463,3/16/2021,7th & State 2,35.66157875,85.22373062
17,7,0.004334279,3/16/2021,700 Underpass,165.912156,1615.032092
