OBJECTID,Tents,Density,Date,Camps,Shape_Length,Shape_Area
1,14,0.017038987,7/2/2021,8th & Main,233.3188848,821.645085
2,23,0.018671889,7/2/2021,Roadhome 1,447.1076281,1231.798234
3,10,0.00774444,7/2/2021,Train Tracks,202.3336549,1291.248885
4,43,0.022131184,7/2/2021,500 Underpass,201.546834,1942.959771
6,10,0.011809282,7/2/2021,800W South Temple,179.8762823,846.79151
7,6,0.005190584,7/2/2021,700 Underpass,136.5614306,1155.939212
8,3,0.019798169,7/2/2021,700W & Tracks,56.82151799,151.5291657
10,3,0.001867128,7/2/2021,KOA,193.6044783,1606.745817
11,6,0.004861072,7/2/2021,Smiths 500S,491.4717703,1234.295531
12,49,0.009463291,7/2/2021,600W South Temple,433.6377968,5177.90297
13,5,0.020023066,7/2/2021,700S Main,82.35983344,249.712011
14,4,0.003415901,7/2/2021,Liberty,184.3926793,1170.994136
15,11,0.040128153,7/2/2021,600 S 200 W,128.3745415,274.1217602
16,2,0.019084908,7/2/2021,200 S 500 W,41.0930838,104.7948456
17,3,0.002862485,7/2/2021,Genesee,134.5690101,1048.040468
18,15,0.017994107,7/2/2021,Taufer,196.5418548,833.6062688
19,3,0.020634778,7/2/2021,7th & State 2,49.31080759,145.3856178
20,42,0.004448403,7/2/2021,Roadhome 2,867.3658884,9441.591611
21,3,0.007271331,7/2/2021,500 W South Temple,121.1917077,412.5791866
22,5,0.016868049,7/2/2021,Sugarmont,90.34345187,296.4183931
24,3,0.01006664,7/2/2021,Lowes,77.83401494,298.0140471
25,7,0.005574261,7/2/2021,Train Tracks 2,210.0628068,1255.771874
