OBJECTID,Tents,Density,Date,Camps,Shape_Length,Shape_Area
1,38,0.032780011,7/20/2021,8th & Main,323.7710062,1159.243047
2,25,0.008555104,7/20/2021,Roadhome 1,445.7226013,2922.232131
3,15,0.011616661,7/20/2021,Train Tracks,202.3336549,1291.248885
4,36,0.018528433,7/20/2021,500 Underpass,201.546834,1942.959771
5,3,0.007670629,7/20/2021,800W South Temple,98.80740654,391.1022335
6,4,0.00346039,7/20/2021,700 Underpass,136.5614306,1155.939212
7,3,0.002298158,7/20/2021,Smiths 500S,524.5927703,1305.393379
8,43,0.009511724,7/20/2021,600W South Temple,358.0771823,4520.736793
9,11,0.031801349,7/20/2021,700S Main,107.6480078,345.8972812
10,7,0.00597796,7/20/2021,Liberty,184.3904781,1170.968093
11,7,0.006679131,7/20/2021,Genesee,134.5690101,1048.040468
12,5,0.023764809,7/20/2021,Taufer,63.4128436,210.3951253
13,3,0.020634778,7/20/2021,7th & State 2,49.31080759,145.3856178
14,67,0.003220178,7/20/2021,Roadhome 2,1596.678965,20806.3061
15,2,0.005463922,7/20/2021,500 W South Temple,98.42053521,366.0374249
16,2,0.025379457,7/20/2021,Downignton,41.80830999,78.80389121
17,2,0.011627712,7/20/2021,700W & Tracks,53.45389367,172.0028813
18,3,0.016886857,7/20/2021,500 S 400 E,65.33139961,177.6529569
19,3,0.008998265,7/20/2021,Liberty Wells,106.1792935,333.397598
22,2,0.01664475,7/20/2021,KOA,46.33507125,120.1580046
23,4,0.006058014,7/20/2021,900 W Underpass,145.998158,660.2824359
24,2,0.002257274,7/20/2021,Roadhome 3,209.4149648,886.0245691
25,3,0.010688668,7/20/2021,600 S 200 W,82.06803687,280.6710918
26,2,0.007382442,7/20/2021,Fairmont,66.09405965,270.9130722
