OBJECTID,Tents,Density,Date,Camps,Shape_Length,Shape_Area
1,18,0.028691813,3/7/2021,Murals East,114.6362086,627.3566527
2,38,0.029073646,3/7/2021,Murals South,366.6970154,1307.025614
3,9,0.010948282,3/7/2021,8th & Main,247.4253566,822.0468138
4,29,0.008378857,3/7/2021,Lowes,497.4845275,3461.092531
5,2,0.009345618,3/7/2021,North Temple 1,95.55156545,214.0040325
7,41,0.010745286,3/7/2021,Roadhome 1,428.2724806,3815.626695
8,64,0.004928765,3/7/2021,Roadhome 2,656.5990829,12984.9984
9,5,0.01734253,3/7/2021,Murals North,91.05497165,288.3085682
10,2,0.019895197,3/7/2021,North Temple 2,56.66113575,100.5267762
11,3,0.058989141,3/7/2021,Liberty Wells,28.54817071,50.85681766
12,2,0.002024136,3/7/2021,Liberty,170.9565702,988.0757626
13,2,0.034039312,3/7/2021,Murals West,31.51705783,58.75559457
14,4,0.016996731,3/7/2021,9th & Second,93.51597517,235.3393756
15,2,0.083369376,3/7/2021,Sears,20.04207034,23.98962412
