OBJECTID,Tents,Density,Date,Camps,Shape_Length,Shape_Area
1,11,0.020041921,4/18/2021,8th & Main,161.7253063,548.849586
2,40,0.011828737,4/18/2021,Roadhome 1,386.5112226,3381.595126
3,5,0.032962593,4/18/2021,Roadhome 2,84.05107818,151.6870969
4,10,0.004147374,4/18/2021,Liberty,382.2745843,2411.164415
5,18,0.021655085,4/18/2021,900S 500W,258.0490629,831.2135574
6,14,0.006435358,4/18/2021,7th & State 2,472.3941589,2175.48099
7,15,0.011616661,4/18/2021,Train Tracks,202.3336549,1291.248885
8,66,0.007866284,4/18/2021,600W South Temple,461.2622055,8390.23844
9,15,0.027574582,4/18/2021,500 Underpass,93.94534357,543.9792268
10,3,0.104068796,4/18/2021,800W 600S,25.34276857,28.82708475
11,2,0.02901496,4/18/2021,KOA,33.25747279,68.92995884
12,2,0.031354361,4/18/2021,1300 & State,38.54212166,63.78698011
13,3,0.022293932,4/18/2021,Genesee,62.41788991,134.5657639
14,20,0.004733683,4/18/2021,Beck Street,253.1517612,4225.039602
15,3,0.004547789,4/18/2021,800W South Temple,158.2265249,659.6611457
16,2,0.0065254,4/18/2021,South Temple Underpass,73.85963207,306.4946269
17,5,0.008199272,4/18/2021,700 Underpass,126.4624788,609.8102552
18,10,0.015785327,4/18/2021,Lowes,135.3269849,633.4997167
19,7,0.044946963,4/18/2021,9th & Second,66.00342278,155.7391103
22,2,0.031103758,4/18/2021,North Temple 2,40.05175836,64.30091117
23,2,0.069648889,4/18/2021,Train Tracks 2,22.04226896,28.71546173
24,2,0.03716363,4/18/2021,Liberty Wells,29.36792631,53.8160565
25,4,0.012897142,4/18/2021,Liberty 2,86.82149529,310.1462344
