OBJECTID,Tents,Density,Date,Camps,Shape_Length,Shape_Area
1,16,0.029031658,3/01/2021,Murals East,104.362537,551.122502
2,27,0.020657597,3/01/2021,Murals South,366.6970154,1307.025223
3,29,0.02819364,3/01/2021,Murals West,250.1801447,1028.600784
4,7,0.00851533,3/01/2021,8th & Main,247.4253566,822.0468138
5,28,0.007509373,3/01/2021,Lowes,533.1099617,3728.673397
6,3,0.014018427,3/01/2021,North Temple 1,95.55156545,214.0040325
7,45,0.005465355,3/01/2021,KOA,556.6907695,8233.683405
8,29,0.011433253,3/01/2021,Roadhome 1,334.6916423,2536.460887
9,52,0.007488278,3/01/2021,Roadhome 2,605.2922082,6944.186215
10,3,0.051287457,3/01/2021,Murals North,30.60155014,58.49383415
