OBJECTID,Tents,Density,Date,Camps,Shape_Length,Shape_Area
1,12,0.009293328,9/12/2021,Train Tracks,202.3336549,1291.248885
2,11,0.00131865,9/12/2021,Liberty,542.9478909,8341.863378
3,2,0.005463922,9/12/2021,500 W South Temple,98.42053521,366.0374249
4,10,0.003530622,9/12/2021,Beck Street,221.0268844,2832.362336
5,25,0.003558102,9/12/2021,Train Tracks 2,633.5950457,7026.218777
6,7,0.003955471,9/12/2021,Foss ,288.1541094,1769.700909
8,2,0.01034886,9/12/2021,Fairmont Park,57.81387997,193.2580026
10,5,0.018831123,9/12/2021,Train Tracks 4,79.1301517,265.5178883
11,4,0.00881998,9/12/2021,Mead Ave,119.1960659,453.5157607
12,3,0.024949326,9/12/2021,KOA,46.35491861,120.24373
13,3,0.010635604,9/12/2021,Warm Springs,73.75309491,282.0714297
14,3,0.031738781,9/12/2021,Volney,39.82948247,94.52158794
15,4,0.051337879,9/12/2021,Murals West,36.68360157,77.91517841
16,2,0.035880192,9/12/2021,Roadhome 1,30.08841043,55.74106226
17,2,0.022099461,9/12/2021,Emeril,42.90366175,90.49994291
18,4,0.035292428,9/12/2021,800W South Temple,51.30937354,113.338758
19,3,0.016769977,9/12/2021,600 S 200 W,58.00022343,178.8911256
20,2,0.045856411,9/12/2021,Smiths 500S,30.60925836,43.61440284
21,2,0.083645738,9/12/2021,Big Lots,24.47782086,23.91036361
