OBJECTID,Tents,Density,Date,Camps,Shape_Length,Shape_Area
1,27,0.022349715,7/8/2021,8th & Main,327.337253,1208.06911
2,28,0.006689061,7/8/2021,Roadhome 1,445.9590734,4185.938763
3,12,0.009293328,7/8/2021,Train Tracks,202.3336549,1291.248885
4,44,0.022645863,7/8/2021,500 Underpass,201.546834,1942.959771
5,14,0.008428659,7/8/2021,800W South Temple,363.2490224,1660.999685
6,9,0.007785877,7/8/2021,700 Underpass,136.5614306,1155.939212
7,2,0.003807856,7/8/2021,KOA,106.8282068,525.2299578
8,5,0.003830263,7/8/2021,Smiths 500S,524.5927703,1305.393379
9,52,0.009195798,7/8/2021,600W South Temple,483.4657893,5654.756512
10,9,0.026019285,7/8/2021,700S Main,107.6480078,345.8972812
11,6,0.005123965,7/8/2021,Liberty,184.3904781,1170.968093
12,6,0.014704845,7/8/2021,600 S 200 W,173.2723158,408.0287724
13,2,0.019084908,7/8/2021,200 S 500 W,41.0930838,104.7948456
14,3,0.002862485,7/8/2021,Genesee,134.5690101,1048.040468
15,23,0.027590963,7/8/2021,Taufer,196.5418548,833.6062688
16,3,0.020634778,7/8/2021,7th & State 2,49.31080759,145.3856178
17,47,0.004930565,7/8/2021,Roadhome 2,1609.663586,9532.376781
18,3,0.008195883,7/8/2021,500 W South Temple,98.42053521,366.0374249
19,5,0.01944375,7/8/2021,Sugarmont,91.78464635,257.1520423
20,3,0.01006664,7/8/2021,Lowes,77.83401494,298.0140471
22,2,0.025379457,7/8/2021,Downignton,41.80830999,78.80389121
23,2,0.011596919,7/8/2021,Liberty Wells,63.42921779,172.4595979
