OBJECTID,Tents,Density,Date,Camps,Shape_Length,Shape_Area
1,18,0.021939492,6/23/2021,8th & Main,234.3441986,820.4383328
2,17,0.011412025,6/23/2021,Roadhome 1,335.7149736,1489.656763
3,8,0.006195552,6/23/2021,Train Tracks,202.3336549,1291.248885
4,43,0.022131184,6/23/2021,500 Underpass,201.546834,1942.959771
5,20,0.004733683,6/23/2021,Beck Street,253.1517612,4225.039602
6,13,0.00916133,6/23/2021,800W South Temple,306.4308472,1419.007922
7,7,0.007226441,6/23/2021,700 Underpass,124.3799401,968.6649719
8,4,0.026397558,6/23/2021,700W & Tracks,56.82151799,151.5291657
9,10,0.026561678,6/23/2021,Train Tracks 3,101.0312902,376.4822452
10,3,0.003222092,6/23/2021,KOA,235.6552695,931.0721218
11,2,0.025479774,6/23/2021,Smiths 500S,36.47674785,78.49363207
12,41,0.01165472,6/23/2021,600W South Temple,345.3100254,3517.888107
14,8,0.015636397,6/23/2021,700S Main,156.9875555,511.6268143
15,5,0.004269876,6/23/2021,Liberty,184.3926793,1170.994136
16,12,0.022934143,6/23/2021,600 S 200 W,223.3136558,523.2373368
17,4,0.012365396,6/23/2021,200 S 500 W,101.2454655,323.48338
18,5,0.004770808,6/23/2021,Genesee,134.5690101,1048.040468
19,10,0.012030864,6/23/2021,Taufer,196.2908773,831.1955156
20,2,0.013756519,6/23/2021,7th & State 2,49.31080759,145.3856178
21,21,0.0046218,6/23/2021,Roadhome 2,423.94177,4543.684487
22,3,0.008014031,6/23/2021,Madsen Park,82.77881759,374.3434686
25,3,0.014595422,6/23/2021,500 W South Temple,62.46734937,205.5439022
