OBJECTID,Tents,Density,Date,Shape_Length,Shape_Area,Camp
1,21,0.038104051,2/23/2021,104.362537,551.122502,Murals East
2,24,0.019221013,2/23/2021,347.9991358,1248.633473,Murals South
3,22,0.021933302,2/23/2021,246.3654035,1003.040949,Murals West
4,7,0.00851533,2/23/2021,247.4253566,822.0468138,8th & Main
5,27,0.006372538,2/23/2021,606.2155833,4236.93065,Lowes
6,2,0.009345618,2/23/2021,95.55156545,214.0040325,North Temple 1
7,43,0.005275551,2/23/2021,529.6866787,8150.806635,KOA
8,22,0.011341033,2/23/2021,311.5511841,1939.858589,Roadhome 1
9,43,0.006819598,2/23/2021,600.8908564,6305.356957,Roadhome 2
