OBJECTID,Tents,Density,Date,Camps,Shape_Length,Shape_Area
1,14,0.014756641,5/27/2021,8th & Main,257.2328781,948.725414
2,65,0.014440718,5/27/2021,Roadhome 1,448.9795027,4501.161369
3,96,0.011490139,5/27/2021,Roadhome 2,1309.970671,8354.990428
4,13,0.010067772,5/27/2021,Train Tracks,202.3336549,1291.248885
5,34,0.021210545,5/27/2021,500 Underpass,199.6421896,1602.976266
6,20,0.004733683,5/27/2021,Beck Street,253.1517612,4225.039602
7,4,0.007245667,5/27/2021,800W South Temple,128.7878022,552.054054
8,6,0.013123587,5/27/2021,700 Underpass,124.4505724,457.1920834
9,5,0.013579709,5/27/2021,Lowes,94.67737012,368.1963924
10,5,0.032996948,5/27/2021,700W & Tracks,56.82151799,151.5291657
11,12,0.013109616,5/27/2021,Redwood and North Temple,176.3531388,915.3585844
12,8,0.018268446,5/27/2021,600 S 200 W,194.1009717,437.9135388
13,25,0.039652272,5/27/2021,400S 500W,261.7655751,630.4808913
14,4,0.016530373,5/27/2021,Train Tracks 3,66.55975274,241.978815
16,2,0.031685605,5/27/2021,KOA,31.80349493,63.12014546
18,2,0.02975162,5/27/2021,Smiths 500S,33.17772208,67.22323014
19,5,0.016143317,5/27/2021,North Temple 2,175.0404076,309.7256848
20,6,0.020079033,5/27/2021,600W South Temple,102.7474422,298.8191707
21,3,0.075744046,5/27/2021,Train Tracks 2,25.28792421,39.60707372
23,4,0.059622802,5/27/2021,700S Main,34.17062899,67.0884275
