OBJECTID,Tents,Density,Date,Camps,Shape_Length,Shape_Area
1,17,0.020720631,6/20/2021,8th & Main,234.3441986,820.4383328
2,17,0.011412025,6/20/2021,Roadhome 1,335.7149736,1489.656763
3,10,0.00774444,6/20/2021,Train Tracks,202.3336549,1291.248885
4,42,0.021616505,6/20/2021,500 Underpass,201.546834,1942.959771
5,20,0.004733683,6/20/2021,Beck Street,253.1517612,4225.039602
6,9,0.007881588,6/20/2021,800W South Temple,255.2981306,1141.901821
7,13,0.013420533,6/20/2021,700 Underpass,124.3799401,968.6649719
8,4,0.026397558,6/20/2021,700W & Tracks,56.82151799,151.5291657
9,10,0.026561678,6/20/2021,Train Tracks 3,101.0312902,376.4822452
10,3,0.003222092,6/20/2021,KOA,235.6552695,931.0721218
11,4,0.050959539,6/20/2021,Smiths 500S,36.47674679,78.49364552
12,41,0.012780656,6/20/2021,600W South Temple,344.9663031,3207.97302
13,5,0.008502796,6/20/2021,Train Tracks 2,148.1893548,588.0418382
14,7,0.013681847,6/20/2021,700S Main,156.9875555,511.6268143
15,5,0.004269876,6/20/2021,Liberty,184.3926793,1170.994136
16,11,0.034475363,6/20/2021,600 S 200 W,151.9401267,319.0684316
17,4,0.012365396,6/20/2021,200 S 500 W,101.2454655,323.48338
19,5,0.004770808,6/20/2021,Genesee,134.5690101,1048.040468
20,10,0.004637194,6/20/2021,Taufer,225.3820405,2156.476478
22,2,0.013756519,6/20/2021,7th & State 2,49.31080759,145.3856178
23,19,0.004181628,6/20/2021,Roadhome 2,423.94177,4543.684487
25,4,0.001634017,6/20/2021,Madsen Park,325.0657729,2447.954645
26,3,0.003667622,6/20/2021,400S 500W,316.2203256,817.9686381
27,2,0.003028804,6/20/2021,7th & State 1,284.9783916,660.3265641
28,3,0.014595422,6/20/2021,500 W South Temple,62.46734937,205.5439022
