OBJECTID,Tents,Density,Date,Camps,Shape_Length,Shape_Area
1,4,0.000988832,10/9/2021,Liberty,529.6329985,4045.178208
2,6,0.008017546,10/9/2021,500 W South Temple,193.0663043,748.3586779
3,14,0.0043143,10/9/2021,Beck Street,277.8151217,3245.022183
4,8,0.017995868,10/9/2021,Mead Ave,111.9937983,444.5464814
5,2,0.016217556,10/9/2021,KOA,46.69200358,123.3231437
6,2,0.035880192,10/9/2021,Roadhome 1,30.08841043,55.74106226
7,3,0.013088744,10/9/2021,South Temple Underpass,82.44453824,229.2045781
8,4,0.087418544,10/9/2021,Downignton,29.25623473,45.75688183
9,2,0.013139807,10/9/2021,Warm Springs,49.64979572,152.2092424
10,2,0.01065188,10/9/2021,Navajo St ,62.66843381,187.760291
11,2,0.027869708,10/9/2021,Train Tracks 2,35.50025943,71.76250191
12,3,0.031360057,10/9/2021,7th & State 2,39.20317514,95.66309171
13,4,0.040889264,10/9/2021,Volney,40.38361923,97.82518846
14,9,0.003596338,10/9/2021,Jordan River,556.3581244,2502.545672
15,2,0.015776275,10/9/2021,Foss ,47.3307706,126.772636
16,2,0.036772157,10/9/2021,200 S Jeremy St,29.81891013,54.38897697
17,3,0.004198937,10/9/2021,700W & Tracks,131.0819174,714.4666013
18,3,0.028399152,10/9/2021,Roadhome 5,53.08494302,105.6369584
19,5,0.002650822,10/9/2021,Roadhome 3,287.8569659,1886.207278
20,5,0.058912939,10/9/2021,400 W Fayette,39.9429578,84.87099929
21,2,0.034740037,10/9/2021,Ballpark,32.09267261,57.57046189
22,4,0.034023681,10/9/2021,Lowes,51.85430395,117.5651754
23,2,0.045385957,10/9/2021,Smiths 500S,30.69297566,44.06649439
24,7,0.022808358,10/9/2021,Canal,120.4255673,306.9050326
