OBJECTID,Tents,Density,Date,Camps,Shape_Length,Shape_Area
1,16,0.021032166,6/2/2021,8th & Main,210.873797,760.739526
2,63,0.013996388,6/2/2021,Roadhome 1,448.9795027,4501.161369
3,110,0.009275189,6/2/2021,Roadhome 2,1245.949652,11859.59611
4,16,0.012391105,6/2/2021,Train Tracks,202.3336549,1291.248885
5,36,0.022458224,6/2/2021,500 Underpass,199.6421896,1602.976266
6,20,0.004733683,6/2/2021,Beck Street,253.1517612,4225.039602
7,4,0.007245667,6/2/2021,800W South Temple,128.7878022,552.054054
8,6,0.013123587,6/2/2021,700 Underpass,124.4505724,457.1920834
9,2,0.013363302,6/2/2021,Lowes,50.06772495,149.6636053
10,3,0.019798169,6/2/2021,700W & Tracks,56.82151799,151.5291657
11,13,0.014202085,6/2/2021,Redwood and North Temple,176.3531388,915.3585844
12,30,0.018032104,6/2/2021,400S 500W,304.4318557,1663.699325
13,6,0.024795559,6/2/2021,Train Tracks 3,66.55975274,241.978815
14,4,0.003078169,6/2/2021,KOA,352.6036894,1299.474016
15,4,0.006901989,6/2/2021,Smiths 500S,177.4135011,579.5430562
16,5,0.006119947,6/2/2021,North Temple 2,245.7243595,817.0005376
17,5,0.036353468,6/2/2021,600W South Temple,52.16030494,137.5384609
18,4,0.040032063,6/2/2021,Train Tracks 2,45.75338907,99.91990785
19,5,0.02469931,6/2/2021,700S Main,74.81543555,202.4348022
20,4,0.019010295,6/2/2021,Roadhome 3,92.41489916,210.412301
21,2,0.020949493,6/2/2021,600S 300E,40.41342464,95.46770605
22,3,0.001137724,6/2/2021,Liberty,385.2088382,2636.844347
