OBJECTID,Tents,Density,Date,Camps,Shape_Length,Shape_Area
1,32,0.026638956,3/28/2021,Murals East,404.0298604,1201.248279
2,44,0.03064838,3/28/2021,Murals South,382.1254019,1435.638676
3,13,0.055247933,3/28/2021,8th & Main,91.43682639,235.3029201
4,39,0.008812406,3/28/2021,Roadhome 1,427.0708442,4425.578939
5,94,0.006592194,3/28/2021,Roadhome 2,954.0973745,14259.28824
6,32,0.035430835,3/28/2021,Murals North,535.1231372,903.1681133
7,4,0.004048273,3/28/2021,Liberty,170.9565702,988.0757626
9,5,0.023159451,3/28/2021,900S 500W,92.17186028,215.8945862
10,4,0.020833598,3/28/2021,North Temple 2,100.8545624,191.9975566
11,11,0.009342449,3/28/2021,7th & State 2,291.8095179,1177.421506
16,3,0.008365266,3/28/2021,400S 500W,117.2866691,358.625782
17,2,0.039821283,3/28/2021,Liberty Wells,28.37836047,50.22439831
18,2,0.016029229,3/28/2021,Liberty 2,44.9183,124.7720679
19,10,0.00774444,3/28/2021,Train Tracks,202.3336549,1291.248885
