OBJECTID,Tents,Density,Date,Camps,Shape_Length,Shape_Area
1,23,0.017621135,7/5/2021,8th & Main,352.4899696,1305.250746
2,26,0.008293797,7/5/2021,Roadhome 1,445.9426131,3134.872993
3,10,0.00774444,7/5/2021,Train Tracks,202.3336549,1291.248885
4,42,0.021616505,7/5/2021,500 Underpass,201.546834,1942.959771
5,14,0.012965788,7/5/2021,800W South Temple,233.2427302,1079.764702
6,6,0.005190584,7/5/2021,700 Underpass,136.5614306,1155.939212
8,3,0.004226768,7/5/2021,KOA,138.00428,709.7622089
9,5,0.002822647,7/5/2021,Smiths 500S,663.1535637,1771.386802
10,52,0.009195798,7/5/2021,600W South Temple,483.4657893,5654.756512
11,4,0.016018405,7/5/2021,700S Main,82.36003345,249.71275
12,4,0.003415901,7/5/2021,Liberty,184.3926793,1170.994136
13,9,0.014473979,7/5/2021,600 S 200 W,262.3723645,621.8055225
14,2,0.019084908,7/5/2021,200 S 500 W,41.0930838,104.7948456
15,3,0.002862485,7/5/2021,Genesee,134.5690101,1048.040468
16,21,0.025191749,7/5/2021,Taufer,196.5418548,833.6062688
17,3,0.020634778,7/5/2021,7th & State 2,49.31080759,145.3856178
18,45,0.00518259,7/5/2021,Roadhome 2,1322.546403,8682.917322
19,3,0.007271331,7/5/2021,500 W South Temple,121.1917077,412.5791866
20,5,0.008990643,7/5/2021,Sugarmont,181.4935732,556.1337449
21,3,0.01006664,7/5/2021,Lowes,77.83401494,298.0140471
22,7,0.005574261,7/5/2021,Train Tracks 2,210.0628068,1255.771874
23,2,0.025379457,7/5/2021,Downignton,41.80830999,78.80389121
24,2,0.011596919,7/5/2021,Liberty Wells,63.42921779,172.4595979
