OBJECTID,Tents,Density,Date,Camps,Shape_Length,Shape_Area
1,21,0.033473782,3/13/2021,Murals East,114.6362086,627.3566527
2,45,0.034429318,3/13/2021,Murals South,366.6970154,1307.025614
3,13,0.01500137,3/13/2021,8th & Main,259.3087736,866.5875199
4,40,0.011148249,3/13/2021,Lowes,518.3274896,3588.007258
5,4,0.015679622,3/13/2021,North Temple 1,112.7201086,255.1081963
6,47,0.010620079,3/13/2021,Roadhome 1,427.0708442,4425.578939
7,68,0.004524693,3/13/2021,Roadhome 2,862.1418368,15028.64298
8,9,0.021642306,3/13/2021,Murals North,156.7737327,415.8521778
9,3,0.058989141,3/13/2021,Liberty Wells,28.54817072,50.85681768
10,3,0.003036204,3/13/2021,Liberty,170.9565702,988.0757626
11,2,0.014045016,3/13/2021,9th & Second,61.11702259,142.3992696
13,5,0.008170521,3/13/2021,900S 500W,225.1281573,611.9560548
14,3,0.029842795,3/13/2021,North Temple 2,56.66113575,100.5267762
15,3,0.020796323,3/13/2021,400 Underpass,55.12288678,144.2562675
16,3,0.01252605,3/13/2021,500 Underpass,70.93229556,239.5008881
17,2,0.023467642,3/13/2021,7th & State 2,35.66157875,85.22373062
