OBJECTID,Tents,Density,Date,Camps,Shape_Length,Shape_Area
1,15,0.017151115,6/8/2021,8th & Main,251.8516438,874.5786896
2,65,0.013914253,6/8/2021,Roadhome 1,516.6768958,4671.468862
3,148,0.006252369,6/8/2021,Roadhome Combined,1537.15604,23671.02846
4,14,0.010842217,6/8/2021,Train Tracks,202.3336549,1291.248885
5,36,0.022458224,6/8/2021,500 Underpass,199.6421896,1602.976266
6,20,0.004733683,6/8/2021,Beck Street,253.1517612,4225.039602
7,5,0.009057084,6/8/2021,800W South Temple,128.7878022,552.054054
8,5,0.010936322,6/8/2021,700 Underpass,124.4505724,457.1920834
10,4,0.026397558,6/8/2021,700W & Tracks,56.82151799,151.5291657
12,4,0.016530373,6/8/2021,Train Tracks 3,66.55975274,241.978815
13,2,0.03070863,6/8/2021,KOA,32.29155534,65.12827075
14,6,0.005083409,6/8/2021,Smiths 500S,367.6944835,1180.31034
15,6,0.044203794,6/8/2021,600W South Temple,51.73027612,135.7349562
16,4,0.040032063,6/8/2021,Train Tracks 2,45.75338907,99.91990785
17,7,0.013681847,6/8/2021,700S Main,156.9875555,511.6268143
18,3,0.003866217,6/8/2021,Liberty,132.4561835,775.9522169
19,2,0.021002141,6/8/2021,600S 300E,40.57949302,95.2283843
20,2,0.026211712,6/8/2021,Madsen Park,34.98695408,76.30176971
21,2,0.030807111,6/8/2021,600 S 200 W,37.50803407,64.92007613
22,4,0.012365396,6/8/2021,200 S 500 W,101.2454655,323.48338
