OBJECTID,Tents,Density,Date,Camps,Shape_Length,Shape_Area
1,32,0.02760422,7/23/2021,8th & Main,323.7710062,1159.243047
2,31,0.011818504,7/23/2021,Roadhome 1,444.1425285,2623.005438
3,13,0.010067772,7/23/2021,Train Tracks,202.3336549,1291.248885
4,37,0.019043112,7/23/2021,500 Underpass,201.546834,1942.959771
6,4,0.00346039,7/23/2021,700 Underpass,136.5614306,1155.939212
7,5,0.003830263,7/23/2021,Smiths 500S,524.5927703,1305.393379
8,43,0.007692322,7/23/2021,600W South Temple,441.3447574,5589.989778
9,12,0.03469238,7/23/2021,700S Main,107.6480078,345.8972812
10,5,0.004269971,7/23/2021,Liberty,184.3904781,1170.968093
11,7,0.006679131,7/23/2021,Genesee,134.5690101,1048.040468
12,6,0.028517771,7/23/2021,Taufer,63.4128436,210.3951253
13,3,0.020634778,7/23/2021,7th & State 2,49.31080759,145.3856178
14,71,0.002676876,7/23/2021,Roadhome 2,1667.61645,26523.4524
15,2,0.005463922,7/23/2021,500 W South Temple,98.42053521,366.0374249
16,2,0.025379457,7/23/2021,Downignton,41.80830999,78.80389121
17,2,0.011627712,7/23/2021,700W & Tracks,53.45389367,172.0028813
18,2,0.011257904,7/23/2021,500 S 400 E,65.33139961,177.6529569
19,3,0.008998265,7/23/2021,Liberty Wells,106.1792935,333.397598
20,2,0.01664475,7/23/2021,KOA,46.33507125,120.1580046
21,4,0.006058014,7/23/2021,900 W Underpass,145.998158,660.2824359
22,4,0.004514547,7/23/2021,Roadhome 3,209.4149648,886.0245691
23,4,0.014251557,7/23/2021,600 S 200 W,82.06803687,280.6710918
24,3,0.011073663,7/23/2021,Fairmont,66.09405965,270.9130722
25,2,0.010989052,7/23/2021,South Temple Underpass,61.27900372,181.999325
