OBJECTID,Tents,Density,Date,Camps,Shape_Length,Shape_Area
1,14,0.010842217,8/25/2021,Train Tracks,202.3336549,1291.248885
2,9,0.001078896,8/25/2021,Liberty,542.9478909,8341.863378
3,2,0.005463922,8/25/2021,500 W South Temple,98.42053521,366.0374249
4,2,0.01664475,8/25/2021,KOA,46.33507125,120.1580046
5,4,0.031021317,8/25/2021,Fairpark ,45.47488014,128.9435905
6,3,0.011280483,8/25/2021,Lowes,80.98685176,265.946068
7,8,0.002824497,8/25/2021,Beck Street,221.0268844,2832.362336
9,12,0.004527701,8/25/2021,Train Tracks 2,320.4626514,2650.351794
11,2,0.013779487,8/25/2021,200 S Jeremy St,58.7294232,145.1432867
13,3,0.017491422,8/25/2021,215 Underpass,68.76890587,171.5126429
17,4,0.025234492,8/25/2021,Jefferson Park,59.48250547,158.5131971
